age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
72,1944,,December,2013, President of the Massachusetts Institute of Technology (1990–2004),Charles M. Vest,American
70,1946,,December,2013,Ivorian footballer (Africa Sports national team),Séry Wawa,Ivorian
49,1967, complications of diabetes,December,2013,American actor (Lizzie McGuire Dharma & Greg Blow),Daniel Escobar,American
91,1925,,December,2013,American AAGPBL baseball player (Fort Wayne Daisies),Vivian Kellogg,American
60,1956, melanoma,December,2013,Australian sound editor (The Truman Show Babe Knowing),Andrew Plain,Australian
93,1923,,December,2013,American football player (Chicago Bears Boston Yanks),Frank Maznicki,American
81,1935,,December,2013,British-Irish actor (Lawrence of Arabia The Lion in Winter Troy),Peter O'Toole,British-Irish
62,1954,,December,2013,American football player (Baltimore Colts Green Bay Packers),Bill Troup,American
92,1924, complications from a fall,December,2013,American evangelist (Family Radio) and doomsday predictor,Harold Camping,American
96,1920, natural causes,December,2013,British-American Oscar-winning actress (Rebecca Suspicion Ivanhoe),Joan Fontaine,British-American
46,1970, pneumonia,December,2013,American basketball player (Indiana Pacers),Dyron Nix,American
86,1930,,December,2013, Minister of Mines (2004–2009),Sis Ram Ola,Indian
88,1928,,December,2013,Russian Soviet Olympic sprint canoer (1956),Yevgeny Yatsinenko,Russian
94,1922,,December,2013, President of Middlebury College (1963–1975),James Isbell Armstrong,American
87,1929, pancreatic cancer,December,2013,"American singer (""Heartaches by the Number"" ""For the Good Times"")",Ray Price,American
89,1927,,December,2013,Indian cricket player (Maharashtra),Madhusudan Rege,Indian
85,1931, heart failure,December,2013,Japanese virologist (chickenpox vaccine),Michiaki Takahashi,Japanese
91,1925, heart failure,December,2013,Indian titular Maharaja of Travancore (since 1991),Uthradom Thirunal Marthanda Varma,Indian
69,1947,,December,2013, MP for Bebington and Ellesmere Port (1974–1979),Alfred Bates,British
37,1979, cancer,December,2013,Dutch record producer (Bingo Players),Paul Bäumer,Dutch
87,1929,,December,2013, Bishop of Liepāja (1995–2001),Ārvaldis Andrejs Brumanis,Latvian
87,1929,,December,2013, Archbishop of Barcelona (1990–2004),Ricardo María Carles Gordó,Spanish
88,1928, cerebral hemorrhage,December,2013,American historian and television host (The Open Mind),Richard Heffner,American
63,1953, esophageal cancer,December,2013,Japanese musician composer (Tsuribaka Nisshi) and producer (Yukiko Okada),Tetsurō Kashibuchi,Japanese
80,1936, cancer,December,2013,Canadian politician member of the Legislative Assembly of Ontario for Lincoln (1995–1999),Frank Sheehan,Canadian
84,1932,,December,2013,English criminal (Great Train Robbery) and fugitive,Ronnie Biggs,English
88,1928,,December,2013,Irish Olympic basketball player (1948),Harry Boland,Irish
84,1932,,December,2013,British Head of the Secret Intelligence Service (1985–1989),Sir Christopher Curwen,British
84,1932, Alzheimer's disease,December,2013,Iranian footballer (Esteghlal F.C. national team),Boyuk Jeddikar,Iranian
64,1952,,December,2013,South African businessman (SABMiller),Graham Mackay,South
72,1944, respiratory disease,December,2013,Romanian television producer (TVR) director and filmmaker,Titus Munteanu,Romanian
76,1940,,December,2013,American film producer (Star Trek: First Contact Along Came a Spider),Marty Hornstein,American
82,1934,,December,2013, member of the Victorian Legislative Council (1976–1982),Ralph Howard,Australian
53,1963,,December,2013,Polish footballer (Lech Poznan),Krzysztof Marcinkowski,Polish
32,1984, suicide by jumping,December,2013,American novelist (It's Kind of a Funny Story),Ned Vizzini,American
83,1933,,December,2013,Soviet Olympic champion athlete (1960),Pyotr Bolotnikov,Soviet
83,1933,,December,2013, Ambassador to the United States (1986–1990),Yuri Dubinin,Russian
40,1976, heart attack,December,2013,American rapper (Three 6 Mafia),Lord Infamous,American
44,1972, stomach cancer,December,2013,Japanese volleyball player (national team),Masafumi Ōura,Japanese
57,1959,,December,2013,British record producer (Queen Iggy Pop),David Richards,British
97,1919,,December,2013,American jazz double-bassist (Glenn Miller band),Trigger Alpert,American
91,1925,,December,2013, Ambassador to Belgium (1969–1971),John Eisenhower,American
82,1934,,December,2013, recipient of the Medal of Honor (1952),Rodolfo P. Hernandez,American
24,1992, euthanized,December,2013,Swedish racehorse winner of Prix d'Amérique (1995),Ina Scot,Swedish
56,1960, convicted of conspiracy to murder and firearms possession,December,2013,Irish republican and IRA member,Bernard Henry McGinn,Irish
42,1974, multiple myeloma,December,2013,American football player and actor (Bringing Down the House Mr. 3000),Bronzell Miller,American
68,1948,,December,2013, Senator (2004–2011),Lentxu Rubial,Spanish
92,1924,,December,2013,Canadian businessman (CJON-DT CHOZ-FM) and publisher (Newfoundland Herald),Geoff Stirling,Canadian
75,1941,,December,2013, member of the Legislative Assembly of Alberta for Clover Bar-Fort Saskatchewan (1993–1997),Muriel Abdurahman,Canadian
92,1924,,December,2013,Indian journalist and newspaper editor (The Statesman),Pran Chopra,Indian
91,1925,,December,2013,Irish hurler (Kilkenny),Shem Downey,Irish
67,1949, prostate cancer,December,2013,American baseball player (Chicago White Sox),Ed Herrmann,American
68,1948, multiple system atrophy,December,2013,Danish politician Defence Minister (1993–2000) MP (1979–2001),Hans Hækkerup,Danish
70,1946, stroke,December,2013,Australian radio presenter (3AW),Keith McGowan,Australian
38,1978,,December,2013,Cuban Olympic wrestler (1996 2000 2004),Lázaro Rivas,Cuban
59,1957,,December,2013, Mayor of Camuy (1989–2002),William Rosales,Puerto
84,1932,,December,2013,American baseball player (Chicago Cubs),Bill Tremel,American
76,1940,,December,2013,American television editor (Home Improvement All in the Family Who's the Boss?),Marco Zappia,American
86,1930,,December,2013,American radio broadcaster (WINS),Stan Brooks,American
94,1922,,December,2013,Russian weapons designer (AK-47 AK-74),Mikhail Kalashnikov,Russian
93,1923,,December,2013,American Grammy Award-winning saxophonist (Yusef Lateef's Little Symphony),Yusef Lateef,American
59,1957, brain aneurysm,December,2013,American drummer (Michael Jackson Phil Collins),Ricky Lawson,American
81,1935,,December,2013,Spanish comics artist (Hombre Tex Willer),José Ortiz,Spanish
68,1948,,December,2013,American actor (Law & Order),Chuck Patterson,American
85,1931,,December,2013,British Olympic fencer (1952 1956),Raymond Paul,British
54,1962, natural causes,December,2013,American director and producer (Booty Call The Fresh Prince of Bel-Air),Jeff Pollack,American
103,1913,,December,2013,American film producer (Papillon),Ted Richmond,American
88,1928,,December,2013, Bishop of Osasco (1989–2002),Francisco Manuel Vieira,Brazilian
83,1933,,December,2013,American private detective and police officer (Arkansas Project),Rex Armistead,American
89,1927, cancer,December,2013,Canadian animator (Crac The Man Who Planted Trees),Frédéric Back,Canadian
86,1930,,December,2013, Permanent Representative to the European Economic Community (1979–1985),Sir Michael Butler,British
52,1964, hepatic cancer,December,2013,Spanish pop musician and singer (Siniestro Total Golpes Bajos),Germán Coppini,Spanish
80,1936,,December,2013, Bishop of Tonga (1994–2008),Soane Lilo Foliaki,Tongan
70,1946,,December,2013,English cricket player (Northants),Stuart Jakeman,English
67,1949, prostate cancer,December,2013,British film producer (Tracey Takes On...),Allan McKeown,British
76,1940, lung cancer,December,2013,British football chairman (Crystal Palace),Ron Noades,British
46,1970,,December,2013,Moldovan football player (national team) and manager,Serghei Stroenco,Moldovan
68,1948,,December,2013,Finnish jazz trumpeter (UMO Jazz Orchestra),Kaj Backlund,Finnish
51,1965, heart attack,December,2013,Colombian industrial engineer Senator (1994–2008),Luis Humberto Gómez Gallo,Colombian
71,1945, heart failure,December,2013,American baseball player (Milwaukee Brewers New York Yankees) and announcer (Cleveland Indians),Mike Hegan,American
80,1936,,December,2013,English footballer (West Ham United),Andy Malcolm,English
80,1936, heart attack,December,2013,Filipino politician Mayor of Quezon City (1992–2001),Mel Mathay,Filipino
85,1931,,December,2013, recipient of the Demidov Prize in Medicine (2002),Viktor Savelyev,Russian
92,1924,,December,2013,American Olympic champion shot putter (1948),Wilbur Thompson,American
69,1947,,December,2013,American baseball player (Baltimore Orioles New York Yankees),Paul Blair,American
87,1929,,December,2013, Espiscopal Bishop of Utah (1971–1993),E. Otis Charles,American
93,1923,,December,2013,British animator (Animal Farm Heavy Metal),Harold Whitaker,British
72,1944,,December,2013, chair of the American Indian Movement (1973),Carter Camp,American
62,1954, car bomb,December,2013,Lebanese politician Minister of Finance (2008–2009) Ambassador to the United States (1997–2000),Mohamad Chatah,Lebanese
55,1961,,December,2013, Interior Minister (2008 2011 2013),Patrick Crowby,Ni-Vanuatu
83,1933, England (1984–1996)[421],December,2013,British Anglican bishop Bishop of Woolwich in the Diocese of Southwark,Peter Hall (bishop),British
73,1943,,December,2013, Defence Services Secretary (1994–1998),Peter John Harding,British
96,1920,,December,2013, MP for Leeds (1961–1968),John Matheson,Canadian
61,1955, cancer,December,2013,Norwegian politician. MP for Telemark (1997–2013),Gunn Olsen,Norwegian
90,1926,,December,2013, Somerton and Frome (1983–1992),Robert Boscawen,British
90,1926,,December,2013, Somerton and Frome (1983–1992),Robert Boscawen,British
89,1927, natural causes,December,2013,American actor (The Magnificent Seven The Scorpion King Alias),Joseph Ruskin,American
87,1929,,December,2013, minister without portfolio (1984–1988),Yosef Shapira,Israeli
44,1972, heart disease,December,2013,Ukrainian-born Russian footballer Footballer of the Year in Russia (1995),Ilya Tsymbalar,Ukrainian-born
35,1981, lymphoma,December,2013,American rock musician (Tripping Daisy Secret Machines School of Seven Bells),Benjamin Curtis,American
77,1939,,December,2013,American basketball player (Philadelphia 76ers Cincinnati Royals),Connie Dierking,American
81,1935, brain tumor,December,2013,Polish composer (Bram Stoker's Dracula The Pianist),Wojciech Kilar,Polish
27,1989, traffic collision,December,2013,Russian Olympic wrestler (2008 2012),Besik Kudukhov,Russian
79,1937,,December,2013,Spanish football player (Athletic Bilbao) and coach (Racing de Santander),José María Maguregui,Spanish
76,1940,,December,2013,Finnish Olympic champion (1960 1964) cross-country skier,Eero Mäntyranta,Finnish
77,1939,,December,2013,British author and sports journalist (Derby Telegraph),Gerald Mortimer,British
65,1951, choking,December,2013,Japanese musician (Happy End),Eiichi Ohtaki,Japanese
70,1946, pulmonary fibrosis,December,2013,Peruvian economist and politician Minister of Energy (2001–2003 2004) Minister of Economy (2003–2004),Jaime Quijandría Salmón,Peruvian
85,1931,,December,2013, Supreme Court Justice (1964–1977),Jan Steyn,South
83,1933,,December,2013,British broadcaster (Songs of Praise Top of the Form Winner Takes All),Geoffrey Wheeler,British
87,1929,,December,2013,American baseball player (Nishitetsu Lions),Larry Yaji,American
68,1948, complications from surgery,December,2013,American actor (The Fresh Prince of Bel Air Teenage Mutant Ninja Turtles The Closer),James Avery,American
60,1956,,December,2013,Italian bluesman and composer (Marrakech Express),Roberto Ciotti,Italian
74,1942, leukaemia,December,2013,British comedian (Bremner Bird and Fortune) and actor (Match Point),John Fortune,British
77,1939,,December,2013, Bishop of Vila Real (1991–2011),Joaquim Gonçalves,Portuguese
53,1963, strangulation,December,2013,Rwandan dissident Director-General (External Intelligence) of the Defence Force (1994–2004),Patrick Karegeya,Rwandan
78,1938,,December,2013, Mayor of Idstein (1978–2002),Hermann Müller,German
86,1930,,December,2013,American basketball player and coach (University of Michigan Iowa State University),Johnny Orr,American
92,1924,,January,2014,British brewer (Ringwood Brewery),Peter Austin,British
56,1960, injuries sustained in an explosion,January,2014,Palestinian diplomat Ambassador to the Czech Republic (since 2013),Jamal al-Jamal,Palestinian
62,1954,,January,2014,Scottish actor (Doctor Who),Billy McColl,Scottish
63,1953,,January,2014, Minister of Finance (since 2012),William Mgimwa,Tanzanian
99,1917,,January,2014,American actress (Imitation of Life Disney's The Kid),Juanita Moore,American
65,1951,,January,2014,Canadian ice hockey player (Winnipeg Jets),Cal Swenson,Canadian
63,1953,,January,2014, Minister of Education (1982–1997),Louis George,Saint
89,1927,,January,2014,American film producer (Return of the Fly The Day of the Triffids),Bernard Glasser,American
60,1956,,January,2014,German composer and musician (Stern-Combo Meißen Karat),Thomas Kurzhals,German
